,comment,class_label
1543,"Tak tento predmet bol totálny fail. Hrozne mi vadilo vedenie predmetu, štýl ""nauč sa sám"", dávanie bodov z nuly ľuďom, ktorí to už vedeli predtým t.j. neboli sme tam na to, aby sme sa niečo naučili, skôr na to, aby sa niektorí predviedli. Ďalej to, že nám absolútne nevysvetlil, ako si predstavuje ten projekt a hlavne ako to máme robiť, všetko sme si museli hľadať v helpoch na internete čo môže spôsobiť dosť ťažkosti tým, kt. nevedia dobre po anglicky. Tento predmet neodporúčam, je to strata času, energie a ani za tie 2 kredity to nestojí, čítať helpy si môžem aj vo voľnom čase.",-1
916,"Velmi dobre spracovana prednaska, jedine trosku neprijemne su neuveritelne dlhe ulohy ale na druhu stranu je to pochopitelne, latka nie je z najlahsich a robenie uloh ludi nuti si to prezriet a teda sa nestraca cez rpednasku",1
468,"kto ľúbi wikipediu, nech sa páči, a ak do nej budete pravidelne prispievať, tak teoreticky sa da na nej nahrabat tolko bodov, ze pomaly aj bez ucenia by ste to spravili.",-1
2921,"skvely a velmi uzitocny predmet, urcite velmi dobre odprednasany...na prednasky sa ale treba poctivo pripravovat, aby sa clovek nestratil :-) odporucam kazdemu :-)",1
1721,"Prednasky su hrozne, nudne a nedobre vysvetlene. Na pisomkach striktne trvaju na tom, aby sme vedeli vsetky vzorce, kazdy krok v algoritme a presne zapisy, ako boli na cviceniach.",-1
1605,"Namiesto toho, aby sme sa od vyucujuceho dozvedeli o zmenach, ktore sa obcas vyskytuju a dost vyznamne sa tykaju DP, trikrat cez semester musime prezentovat obsah diplomovej prace, na ktorej aj tak robi mozno 5 percent z nas. Vysledkom je trikrat rovnaka prezentacia. Znamka sa odvija od poctu ucasti na seminari a poctu prezentacii. Vobec nie od obsahu...",-1
2083,"tak ja nemam cit pre geometriu a matiku tak celkovo som zistila :D ale toto boli celkom pekne veci, som zistila :D",0
1412,"Odporučila by som ho ďalším študentom, lebo je to predmet, ktorý je akoby pokračovanie stredoškolskej matematiky. Aspoň ja mám taký pocit.",1
618,"Súčasťou predmetu bola tvorba programu riešiaceho duálnou revidovanou simplexovou metódou, na ktorú sme nepreriešili jediný príklad na hodine. Niektorí študenti si zohnali projekt spred dvoch rokov a ten upravili, zrejme sa to inak dalo len veľmi ťažko stihnúť (ja som nestihol/la svoj program ani dokončiť, aby vyriešil akúkoľvek úlohu. Keďže je to povinný predmet, odporúčam sa výrazne sústrediť na písomku z cvičení, lebo z nej je odvodená vraj väčšina známky.",-1
1856,"Taká pohodovka, za dva kredity akurát práce. Naučíte sa azbuku aspoň :-)",1
168,"Predmet bol zaujimavy a dobre vysvetleny(profesorkou Jajcayovo, Nather mal nejake nejasnosti)",1
358,"Projekt bol v pohode, ale 5 členná skupiny boli dosť prehnané, takisto papierovačky okolo toho boli najväčšia robota, ale aspoň človek získa predstavu ako to reálne vyzerá.",0
2829,"Zozaciatku som nechapala na co je tento predmet dobry, ale ked si clovek nad to sadol, davalo to zmysel a zrejme su tieto poznatky aj vyuzitelne.",1
2298,"Super predmet, s dobrým prednášajúcim s výborným spôsobom hodnotenia.",1
2510,Troska mi vadilo slide v anglictine,-1
852,"Super predmet, zaujímavá oblasť",1
2780,na prvy pohlad latka nie je az taka zaujimava ale pani valkova ma dokazala zaujat...jedine co sa mi az tak nepacilo bolo ze to bola 3hodinova prednaska a tie nemam velmo v laske,0
1603,5 kreditov zadarmo.,1
165,"vyborny predmet, v podstate je to take pokracovanie diskretnej matiky, ale beru sa tam grafy, stromy - veci co sa programatorom urcite zidu. Latka je zaujimava a nie tazka.",1
2010,"Chyba realnejsi,viac prakticky pohlad na ucivo.",-1
784,"Odborná prax by sa mala rozšíriť aspoň na dva semestre. Mala by trvať aspoň mesiac. Malo by byť za ňu viac kreditov. Mala by nahradiť niektorý z teoretických predmetov. Odborná prax by nemala byť súčasť meraní na diplom. prácu. Privítala by som ponuky SAV alebo iných vedeckých inštitúcií, prípadne firiem, ktoré by sa tým pre biomed. fyz. stali prístupnejšie.",-1
78,"Oplatí sa zapísať, človek sa veľa naučí a naozaj to pomôže.",1
2990,"Cvičenia sa mi viac páčili ako prednášky. Neviem, či je naozaj potrebné vedieť tie vety a dôkazy, ktoré sa na prednáškach preberajú.",0
2467,nebojte sa tohoto predmetu,0
2667,"podla mna nase vedomosti na efm po prvych troch rokoch nie su take, aby sme mali pisat nasledne 30stranovu pracu na vysokej urovni....zabralo to velmi vela casu a aj tak vysledok je ze ja aj vacsina spoluziakov ako som pocul niesu sami spokojni so svojou pracou, a hlavne nas to velmi obralo o cas, ktory sme mohli venovat priprave na statnice, co by nam velmi pomohlo, aby cele to ucivo (hlavne tazsia matematika) troch rokov v nasich hlavach mohla zapadnut dokopy a poprepajat sajediny uzitok co z toho vidim je, ze sme sa naucili ako samostatne robit vacsiu pracu (priprava na diplomovku)",-1
1697,"Jediné mínus je to, že človek nevie dopredu, koľko bude úloh, akej povahy budú úlohy alebo za koľko budú bodov, je sľúbené len, že ""dosť"". Ale je to len malé mínus, ktoré nerobilo väčšie problémy. Celkovo je to oživujúci predmet, môže byť technický, historický alebo umelecký, podľa toho, o čom by ľudia radi počúvali. Dalo sa dokonca ísť aj na exkurziu do hvezdárne.",0
131,"Predmet kam chodia standartne 1-5 ludia, prakticka cast pre mna velmi zaujimava. Teoria je nutne zlo. V celku ale pohoda, treba prepnut v hlave na logicke programovanie",0
1569,"Pre mňa bola hlavne druhá časť semestra pomerne náročná, pretože látka sa mi zdala veľmi abstraktná. Odovzdávali sme počas semestra úlohy, tie sa mi zdali tiež pomerne náročné, často bolo treba využiť a naprogramovať numerické metódy, čo bol u mňa problém.",0
2288,Zaujimavy predmet s putavym obsahom a prednasajucim ktory vie podat informacie dalej.,1
504,"Skvela prednaska, velmi putave rozpravanie prednasajuceho, dobre vybrane temy.  Jedina skoda bola, ze eseje, ktore sme mali odovzdavat, neboli hodnotene (co bolo predpokladam kvoli velkemu poctu studentov predmetu) a teda sme nemali spatnu vazbu. Pisomka na konci bola fajn obtiaznosti, aj ked na prvy pohlad sa zdala velmi tazka.",1
1403,"Cvičení by malo byť rozhodne viac, pretože sa ani z ďaleka nedajú pokryť s prednáškami, Takmer nič sa nestíha, teda stihlo by sa to, ale nikto by tomu nerozumel, tak načo je to dobré?",-1
1095,"veľmi dobrý spôsob, ako si zobakovať látku zo strednej, poprípade sa niečo doučiť",1
3117,skvelý,1
1310,"Predmet je zaujimavy, ale mozno sa tam prebera prilis vela modelov a nie tak podrobne....myslim si ze by bolo zaujimave zobrat si menej modelov a skusit sa na ne pozriet podrobnejsie, teda pracovat s nimi trosku dlhsie.",-1
602,"Snáď jeden z najzaujímavejších predmetov tento semester, hoc vcelku náročný.",1
2805,"Celkom zaujimavy predmet, ktory je akosi analogiu linearneho programovania. Predmet odporucam studentom, ktori v zimnom semestri absolvovali predmet Metody vnutorneho bodu v LP.",1
1050,"K predmetu sú stručné skriptá, ktoré pomáhajú udržať si prehľad v látke. Doplnením vhodnou literatúrou + účasťou na prednáškach, by so skúškou nemali byť problémy.",0
2222,Predmet je velmi dobrym prehladom programovania v praxi a dava navod ako si programovanie ulahcit a sprijemnit.,1
1662,"najlespsi predmet tento semester, ucivo zaujimave , perfektne odprednasane a vysvetlene. malo by byt na matfyze viac takychto profesorov ktory vedia takto podat informacie",1
2692,"Myslim si, ze tento predmet by mohol byt omnoho zaujimavejsi pre mna, kebyze je odprednasany uplne inak. Prednasky boli strasne monotonne, poznamky chaoticke, ked som si po tyzdni precital com som si z hodiny zapisal, bolo dost tazke to pochopit. Velmi taktiez chybali materialy resp ucebnica k predmetu, kde by som si nepochopenu latku mohol dostudovat. Musel som studovat bakalarky a diplomovky byvalych studentov, ktori sa danej teme venovali. Vravim, predmet si nemyslim ze je tazky, akurat prednasky  mohli byt systematickejsie",-1
213,"1) HodnotenieHodnotenie tohto predmetu je znacne nadsadene.Hodnoti sa projekt(30b)2 testy(20+30b) BonusyDokopy je mozne ziskat 80b+bonusyProblemom je ze za 80b uz je hodnotenie BJa osobne nemam nic proti bonusovym bodom, ale ked su bonusove nemali by byt sucastou povinneho hodnotenia. 1.1) Pisomky:predmetom pisomky boli 2 typy otazok. a) otazky k veci: XSLT, DTD, CSS...ktore vsak boli casto o tom ci si clovek pamata vsetky tagy na spamat - pisanie css a pod na papier - toto neodzrkadluje to ci danej latke clovek rozumie, co by mal byt primarny ciel pisomkyb) otazky debilne - veci ktore su premenlive, a nie az tak podstatne - medzi tie patri napriklad percentualny podiel IE vo svete, v ktorych krajinach nie je google najrozsirenejsi vyhladavac(chapem preco sa snazi prednasajuci utajit zadania pisomiek asi sa za ne hambi, kazdopadne zakaz fotenia a vynasania zadani nie je sposob ako zabranit aby sa pisomka dostala von ;)) Body su strhavane za zbytocne banality...takze taky ocakavany pocet bodov z",-1
1425,"+ Učivo samo o sebe je zaujívamé a v značnej miere aj potrebné- vyučujúci so svojim prístupom k ľuďom",0
806,"Predmet mal zaujimavu napl a aj vyklad bol na vysokej urovni.Problemom je, ze mnohe z aplikacnych poznatkou sme mali z propagacnych hodin na inych prednaskach co je skoda lebo na tejto prednaske bol priestor o nich aj diskutovali a nie si len ypoculi na co je dany proces na vsetko dobre. Exkurzie boli silnym plusom.",1
1918,"posilovanie bol v pohode, len keby mali lepšie náradie(činky, nejaké tie nové stroje) možno aj vymeniť miesto nie v tej kotolňi či čo to je, ale inak fajn",0
527,"Cvicenia pri PC dost pomohli, teoria preberana na prednaskach bohuzial nie prilis zaujimavo a zrozumitelne vysvetlena, slajdy by mohli obsahovat viacej ""slovnych"" poznamok k tomu, co sa tam prave deje.",0
1958,Lodičky sú skvelé vždy :),1
62,"Uplne zbytocny predmet, ktory medzi povinnymi nema co hladat. Vacsinou nikto nechape preberanej latke. Absolutne znechutenie hned po prvej prednaske. Keby nebol povinny urcite si ho nik nezapise.",-1
2818,"Na co je tento predmet? Z preberanej latky vacsina studentov nema nic. Clovek ma pocit, ze cielom je prelozit referat a potom ho odprezentovat. To by bolo v poriadku za 3 kredity, ale cas straveny na povinnych prednaskach je len povinne utrpenie.",-1
1401,"Predmet bol narocny, ale bez dobrovolnych cviceni z algebry by bol podla mna kazdy student este viac zmateny, nepochopil by uplne prebranu temu.",-1
2243,"Dobre vedený predmet, odlahceny, ale pritom nie je zadarmo.",1
1204,"Pan Kubacek je fantasticky. Hodnotenie a pisomky na zaciatku vyzeraju desivo ale netreba sa zlaknut a da sa vsetko, len treba systematicky v priebehu semestra nieco robit.",1
617,Zaujímavý a dobre odprednášaný predmet no zmena poradia niektorých kapitol by neuškodila. (Možno drobná ukážka simplexovej metódy v úvodnej motivačnej hodine),1
1167,"Tie cvicenia.. by chceli spravit nieco, aby to bolo pre nas uzitocnejsie",-1
567,"Tento predmet je velmi uzitocny pre nas EFMakov, kedze je to prve stretnutie s diferencialnymi rovnicami, ktore by na tejto urovni mal ovladat kazdy matematik, a teda aj EFMak, kedze sme aplikovana matematika. Na predmete sme sa ucili uzitocne veci, ukazovane na prikladoch z praxe, co je velke plus",1
